T	X1	X2	X3	X4
0.000e+00	0.00000000e+00 	0.0	0.0	0.0
1.000e-04 	-6.35367929e-16 	-1.18515203e-23	0.0	0.0
1.100e-03 	-9.30241541e-12 	-1.94716603e-17	-4.92950496e-24	-3.5317467e-31
6.100e-03 	-8.79702348e-09	-5.39683916e-13	-1.16567602e-17	-9.22791278e-23
1.110e-02 	-9.64471479e-08 	-1.85319359e-11	-2.81911359e-15	-3.07900312e-19
1.610e-02	-4.26845234e-07 	-1.72050755e-10	-5.57975385e-14	-1.45694136e-17
2.110e-02 	-1.25908461e-06 	-8.71232664e-10	-4.84936244e-13	-2.20668899e-16
2.610e-02 	-2.94736571e-06	-3.11981381e-09	-2.655245e-12	-1.85188991e-15
3.110e-02 	-5.94085840e-06 	-8.92683778e-09	-1.07830678e-11	-1.06773765e-14
3.610e-02 	-1.07835275e-05 	-2.18278938e-08	-3.55165349e-11	-4.73724091e-14
4.110e-02 	-1.81139212e-05 	-4.75150742e-08	-1.00188431e-10	-1.7316718e-13
4.610e-02	-2.86649234e-05	-9.45746705e-08	-2.50830631e-10	-5.45309439e-13
5.110e-02 	-4.32634683e-05 	-1.75331459e-07	-5.71220294e-10	-1.52549037e-12
5.610e-02 	-6.28302195e-05 	-3.06798259e-07	-1.20440458e-09	-3.87585768e-12
6.110e-02 	-8.83792121e-05 	-5.11729283e-07	-2.38232212e-09	-9.09195013e-12
6.610e-02 	-1.21017459e-04	-8.19775637e-07	-4.46530512e-09	-1.99401888e-11
7.110e-02 	-1.61944519e-04 	-1.26874115e-06	-7.99340553e-09	-4.12897828e-11
7.610e-02	-2.12452034e-04 	-1.9059366e-06	-1.3751641e-08	-8.13553595e-11
8.110e-02 	-2.73923223e-04 	-2.78963018e-06	-2.28514011e-08	-1.53497587e-10
8.610e-02 	-3.47832349e-04	-3.99059191e-06	-3.68303925e-08	-2.78764775e-10
9.110e-02 	-4.35744143e-04 	-5.59372967e-06	-5.77736269e-08	-4.89399127e-10
9.610e-02 	-5.39313196e-04 	-7.69981417e-06	-8.84580794e-08	-8.33577179e-10
1.011e-01 	-6.60283317e-04 	-1.04272901e-05	-1.3252375e-07	-1.3817051e-09
1.061e-01	-8.00486855e-04	-1.3914171e-05	-1.94673965e-07	-2.23464614e-09
1.111e-01 	-9.61843989e-04 	-1.83200138e-05	-2.80907835e-07	-3.53431959e-09
1.161e-01 	-1.14636198e-03 	-2.38279715e-05	-3.98787884e-07	-5.47717816e-09
1.211e-01 	-1.35613438e-03 	-3.06469196e-05	-5.57745904e-07	-8.33114407e-09
1.261e-01 	-1.59334026e-03	-3.90136523e-05	-7.69430163e-07	-1.24566623e-08
1.311e-01 	-1.86024329e-03 	-4.91951473e-05	-1.04809714e-06	-1.83326144e-08
1.361e-01	-2.15919093e-03 	-6.14908928e-05	-1.41105098e-06	-2.6587924e-08
1.411e-01 	-2.49261349e-03 	-7.62352749e-05	-1.87913389e-06	-3.80397815e-08
1.461e-01 	-2.86302317e-03	-9.38000206e-05	-2.47727064e-06	-5.37395135e-08
1.511e-01 	-3.27301312e-03 	-0.000114596693	-3.23507056e-06	-7.50272265e-08
1.561e-01 	-3.72525639e-03 	-0.000139079234	-4.18748995e-06	-1.03596463e-07
1.611e-01 	-4.22250493e-03 	-0.000167746552	-5.37555834e-06	-1.4157022e-07
