# 20231128_DSC_1763.mp4
#	mass A	mass B	mass C	
# t	x	x	x	
0.000000E0	2.449636E0	9.657229E-1	1.270787E-1
8.333000E-3	2.449377E0	9.658106E-1	1.271851E-1
1.666600E-2	2.449717E0	9.661425E-1	1.274609E-1
2.499900E-2	2.449391E0	9.667256E-1	1.274822E-1
3.333200E-2	2.448554E0	9.671770E-1	1.276255E-1
4.166500E-2	2.448027E0	9.671478E-1	1.280222E-1
4.999800E-2	2.446774E0	9.671565E-1	1.282148E-1
5.833100E-2	2.444027E0	9.673148E-1	1.285568E-1
6.666400E-2	2.439599E0	9.673491E-1	1.285268E-1
7.499700E-2	2.433600E0	9.677196E-1	1.288789E-1
8.333000E-2	2.425607E0	9.683293E-1	1.293382E-1
9.166300E-2	2.415459E0	9.684406E-1	1.294690E-1
9.999600E-2	2.402777E0	9.684979E-1	1.297485E-1
1.083290E-1	2.387179E0	9.685352E-1	1.298397E-1
1.166620E-1	2.370029E0	9.688027E-1	1.301143E-1
1.249950E-1	2.351454E0	9.689496E-1	1.303356E-1
1.333280E-1	2.331663E0	9.691677E-1	1.307272E-1
1.416610E-1	2.310461E0	9.689118E-1	1.309566E-1
1.499940E-1	2.285709E0	9.686395E-1	1.311052E-1
1.583270E-1	2.258684E0	9.685190E-1	1.313368E-1
1.666600E-1	2.230585E0	9.682543E-1	1.316169E-1
1.749930E-1	2.200896E0	9.684147E-1	1.316140E-1
1.833260E-1	2.170800E0	9.674651E-1	1.318646E-1
1.916590E-1	2.138003E0	9.663526E-1	1.317641E-1
1.999920E-1	2.103841E0	9.648720E-1	1.321432E-1
2.083250E-1	2.067334E0	9.631507E-1	1.323082E-1
2.166580E-1	2.029303E0	9.614196E-1	1.326678E-1
2.249910E-1	1.990307E0	9.592924E-1	1.326650E-1
2.333240E-1	1.951010E0	9.569453E-1	1.327225E-1
2.416570E-1	1.911066E0	9.531515E-1	1.330126E-1
2.499900E-1	1.866940E0	9.488601E-1	1.328645E-1
2.583230E-1	1.821287E0	9.434884E-1	1.327965E-1
2.666560E-1	1.774371E0	9.378746E-1	1.328435E-1
2.749890E-1	1.726891E0	9.319277E-1	1.329343E-1
2.833220E-1	1.679749E0	9.251523E-1	1.326574E-1
2.916550E-1	1.632296E0	9.176400E-1	1.327407E-1
2.999880E-1	1.580222E0	9.088172E-1	1.325046E-1
3.083210E-1	1.524974E0	8.988395E-1	1.323118E-1
3.166540E-1	1.471111E0	8.893416E-1	1.320777E-1
3.249870E-1	1.417755E0	8.818363E-1	1.322277E-1
3.333200E-1	1.363382E0	8.708070E-1	1.316249E-1
3.416530E-1	1.309483E0	8.587022E-1	1.311534E-1
3.499860E-1	1.248243E0	8.455816E-1	1.306444E-1
3.583190E-1	1.187342E0	8.309383E-1	1.300026E-1
3.666520E-1	1.126227E0	8.155870E-1	1.292655E-1
3.749850E-1	1.066652E0	7.994230E-1	1.284042E-1
3.833180E-1	1.007168E0	7.828035E-1	1.272983E-1
3.916510E-1	9.477132E-1	7.649367E-1	1.265097E-1
3.999840E-1	8.914458E-1	7.463464E-1	1.250160E-1
4.083170E-1	8.290734E-1	7.259535E-1	1.236803E-1
4.166500E-1	7.727042E-1	6.953842E-1	1.217607E-1
4.249830E-1	7.385928E-1	6.385951E-1	1.198066E-1
4.333160E-1	6.918583E-1	5.823997E-1	1.169756E-1
4.416490E-1	6.865507E-1	5.241469E-1	1.143610E-1
4.499820E-1	6.594782E-1	4.655232E-1	1.110782E-1
4.583150E-1	6.150818E-1	4.107486E-1	1.074516E-1
4.666480E-1	5.888889E-1	3.532549E-1	1.038263E-1
4.749810E-1	5.520235E-1	3.008031E-1	1.000357E-1
4.833140E-1	5.136090E-1	2.415213E-1	9.576695E-2
4.916470E-1	4.776644E-1	1.902524E-1	9.123225E-2
